run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
154,60.152001190064155,77.67743763058698,2383.1842055538477,1.3934515864908668,0.04854321088955028,10.623469842590612,71,1009.5447251537053,4,47.1
155,58.269297547201276,76.95351861938052,2395.885654985058,1.1110107877545419,0.0838047957034241,10.083829367174516,74,1128.489121703682,4,69.2
156,57.71780509770734,74.9622931843713,2431.051022122339,1.4225937612208863,0.044769319896812744,13.327369464032145,91,929.0589194206774,5,46.9
157,61.41688857008132,79.57716765472087,2373.1819850979737,1.098159352010764,0.053674863335431776,10.587668653734394,48,943.611533610872,4,46.2
158,58.62046184564755,69.62935612958621,2402.9526850700263,1.1696713920309196,0.045865301311422337,8.783644752116572,61,1054.5657046194551,4,46.8
159,54.44226058004319,66.38643242273893,2591.6644845810565,1.1028337032921909,0.06828182335425566,10.525146988341154,50,981.2196274403354,5,69.0
160,62.16231630821022,84.7098880430664,2585.692715427779,1.3923858307137655,0.04807219322077605,9.33683416173404,61,1080.3124356321484,5,45.1
161,58.528800131241724,84.52671713294875,2592.508566287087,1.2103882235013255,0.046396624472684764,10.951014671256267,57,1095.2803091520173,6,44.9
162,54.34303787355069,87.76363759204146,2575.842488676762,1.0541176164800563,0.0556227337813128,9.276326630404247,59,840.1233499188829,4,54.0
163,61.56594648906915,75.73720451826566,2290.325339995419,1.1222126676708462,0.051610577809343666,9.809623176796268,54,946.1648952631685,5,43.9
164,59.751102822116785,86.53823486576286,2238.733033833062,1.3999799252685527,0.05041060550271198,9.455851679659808,77,1075.2223691990284,4,45.2
165,56.27839899050792,74.76402635179186,2225.546749561684,1.1791239482714384,0.041252119751777755,9.809758435811393,49,957.2160178405231,5,41.6
166,61.503984900070265,80.59431934942252,2589.068781024514,1.028419478757667,0.06264973230710885,10.216333891089672,61,1050.4599649657528,5,52.6
167,58.18947789809725,80.72622665675648,2152.59116357109,1.2161950920477111,0.07602201346623073,13.198437861092506,43,971.5167587616634,4,60.6
168,63.464328952287374,79.69420128843838,2322.77455299917,1.092779473539399,0.04556849192741995,11.991477412309461,76,940.1758631768105,5,38.5
169,58.49251899136617,84.28060858300053,2188.2504049311597,1.2621486243122637,0.05371735759177991,9.406684881144747,64,913.8073225530379,5,45.9
170,59.8262356907808,72.02078844522205,2365.561828388783,1.1980500212948733,0.06532333423999095,8.242896534432013,73,922.5022175422396,3,59.7
171,61.41565109706005,70.77937080492332,2517.2732697055426,1.3342964133353918,0.05589957108270691,8.88610995364452,84,1016.9925606721342,4,53.8
172,63.06466401111504,77.42642309559862,2750.9501639025857,1.1597810969960474,0.048109204441567466,11.362424119689372,63,784.0766571771778,4,46.8
173,64.69451262053654,78.91599260641787,2344.8447444528947,1.1604137054173076,0.054179295008401254,11.084737416990102,67,948.4487236999001,4,44.6
174,61.63818611473334,83.04312726793543,2240.330277393901,1.1079828259820461,0.046477661490274866,10.534682508790866,75,886.4205305113505,3,41.2
175,55.265999848900655,87.29264655620122,2281.8227513461866,1.1583679924709287,0.07875609380488455,13.350789456073581,59,790.7498442867864,3,67.2
